Match,MatchTicker,Name,NameTicker,YahooTicker
Delphi Automotive PLC,DLPH,Delphi,DLPH,DLPH
Alcoa Inc.,AA,Alcoa,AA,ALU.DE
Stryker Corporation,SYK,Stryker,SYK,SYK.F
Renishaw plc,RSW.L,Renishaw,RSW.L,RSW.L
Stratasys Ltd.,SSYS,Stratasys,SSYS,SCY.F
"Toray Industries, Inc.",TRYIF,Toray,TRYIF,TRYIY
Tinkerine Studios Ltd.,TTD.V,Tinkerine,TTD.V,TKSTF
Fastbrick Robotics Limited,FBR.AX,Fastbrick Robotics,FBR.AX,DMY.AX
Safilo Group S.p.A.,SFL.MI,Safilo,SFL.MI,SFLN.MX
Treasure Island Royalty Trust,TISDZ,Treasure Island,TISDZ,TISDZ
"ConforMIS, Inc.",CFMS,ConforMIS,CFMS,CFMS
Cambridge Technology Enterprises Limited,CTE.BO,Cambridge Technology,CTE.BO,CTE.BO
"Wacom Co., Ltd.",WACMY,Wacom,WACMY,11W.F
Medicrea,ALMED.PA,Medicrea,ALMED.PA,ALMED.PA
KEYENCE CORP.,KYCCF,KEYENCE,KYCCF,KEE.MU
HP Inc.,HPQ,HP Inc.,HPQ,HPQ.BA
BASF SE NA O.N.,BAS.DE,BASF SE,BAS.DE,BAS.MU
Wake Forest Bancshares Inc.,WAKE,Wake Forest,WAKE,WAKE
"Organovo Holdings, Inc.",ONVO,Organovo,ONVO,4OR.F
Magna International Inc.,MGA,Magna International Inc,MGA,MGA
Arconic Inc.,ARNC,Arconic,ARNC,AA-PB
Nano Dimension Ltd.,NNDM,Nano Dimension,NNDM,NNDM
"Spirit AeroSystems Holdings, Inc.",SPR,Spirit AeroSystems,SPR,S9Q.F
ALPHAFORM AG O.N.,AFRMF,ALPHAFORM,AFRMF,ATF.MU
Altech Chemicals Limited,ATC.AX,Altech,ATC.AX,ATC.AX
Kraken Sonar Inc.,PNG.V,Kraken,PNG.V,KRKNF
Altair Resources Inc.,AVX.V,Altair,AVX.V,AAEEF
"Endurance International Group Holdings, Inc.",EIGI,Endurance,EIGI,EIGI
Draganfly Investments Limited,DRG,Draganfly,DRG,DRG.L
DMG MORI AG O.N.,GIL.DE,DMG MORI,GIL.DE,GIL.DU
"Ansys, Inc.",ANSS,Ansys,ANSS,ANSS
Materialise NV,MTLS,Materialise,MTLS,MTLS
The ExOne Company,XONE,ExOne,XONE,XONE
SLM Solutions Group AG,AM3D.DE,SLM Solutions,AM3D.DE,SLGRF
"Orbital ATK, Inc.",OA,Orbital ATK,OA,OA
Thales SA,HO.PA,Thales,HO.PA,HONV.PA
"Assembly Biosciences, Inc.",ASMB,Assembly,ASMB,ASMB
"Tesla, Inc.",TSLA,Tesla,TSLA,TSLA.MX
"ReproCELL, Inc.",6RC.BE,ReproCELL,6RC.BE,6RC.F
Hexcel Corporation,HXL,Hexcel,HXL,HXL.F
Lenovo Group Limited,0992.HK,Lenovo,0992.HK,LHL1.SG
"Imaginarium, S.A.",IMG.MC,Imaginarium,IMG.MC,IMG.MC
Zodiac Aerospace,ZC.PA,Zodiac Aerospace,ZC.PA,ZDC.F
"Synergy Pharmaceuticals, Inc. -",SGYP,Synergy,SGYP,SGYPU
Victrex plc,VCT.L,Victrex,VCT.L,VCT.L
Andiamo Corporation,ANDI,Andiamo,ANDI,ANDID
Speed Rabbit Pizza,MLSRP.PA,Rabbit,MLSRP.PA,MLSRP.PA
Somos Educação S.A.,SEDU3.SA,Somos,SEDU3.SA,SEDU3.SA
The Hilliard Corporation,HLRD,Hilliard,HLRD,HLRD
Carpenter Technology Corporation,CRS,Carpenter,CRS,XTY.F
WCM Beteiligungs- und Grundbesitz-AG,WCMK.DE,WCM,WCMK.DE,0QGK.L
"A. Schulman, Inc.",SHLM,A Schulman,SHLM,SHLM
AXIS Capital Holdings Limited,AXS,AXIS,AXS,AXS-PD
"MicroJet Technology Co., Ltd.",8197.TWO,MicroJet,8197.TWO,8197.TWO
Olympus Corporation,OCPNY,Olympus,OCPNY,OLY1.F
"Aerojet Rocketdyne Holdings, Inc.",AJRD,Aerojet Rocketdyne,AJRD,AJRD
Global Graphics SE,GLOG.BR,Global Graphics,GLOG.BR,GLOG.BR
"3DX Industries, Inc.",DDDX,3DX Industries,DDDX,DDDX
"Zimmer Biomet Holdings, Inc.",ZBH,Zimmer,ZBH,ZIM.F
Nectar Lifesciences Limited,NECLIFE.NS,Nectar,NECLIFE.NS,NECLIFE.BO
Johnson Matthey Plc,JMPLY,Johnson Matthey,JMPLY,JMPLF
