Name,Match,nameStrPercent,matchStrPercent,nameWordPercent,matchWordPercent,Ticker,Exchange
Delphi,Delphi Automotive PLC,1.0,0.285714285714,1.0,0.5,DLPH,NYQ
Konica Minolta,"Konica Minolta, Inc.",1.0,0.7,1.0,1.0,KPI1.F,FRA
Moog Inc,Moog Inc.,1.0,0.888888888889,1.0,1.0,MO7A.F,FRA
Alcoa,Alcoa Inc.,1.0,0.5,1.0,1.0,ALU.DE,GER
Amtech,"Amtech Systems, Inc.",1.0,0.3,1.0,1.0,ASYS,NMS
Carbon,Carbon Energy Limited,1.0,0.285714285714,1.0,1.0,CNXAY,OBB
Graphisoft,Graphisoft Park SE Namens-Akt.,1.0,0.333333333333,1.0,0.25,GUV.SG,STU
Atos,Atos SE,1.0,0.571428571429,1.0,1.0,AEXAY,PNK
Stryker,Stryker Corporation,1.0,0.368421052632,1.0,1.0,SYK.F,FRA
Renishaw,Renishaw plc,1.0,0.666666666667,1.0,1.0,RSW.L,LSE
Stratasys,Stratasys Ltd.,1.0,0.642857142857,1.0,1.0,SCY.F,FRA
VG,Lexam VG Gold Inc. Registered S,1.0,0.0645161290323,1.0,0.333333333333,VN3A.SG,STU
Toray,"Toray Industries, Inc.",1.0,0.227272727273,1.0,0.5,TRYIY,PNK
Tinkerine,Tinkerine Studios Ltd.,1.0,0.409090909091,1.0,0.5,TKSTF,PNK
Hermle AG,Maschinenfabrik Berthold Hermle AG,1.0,0.264705882353,1.0,0.333333333333,MBH3.F,FRA
Fastbrick Robotics,Fastbrick Robotics Limited,1.0,0.692307692308,1.0,1.0,DMY.AX,ASX
Safilo,Safilo Group S.p.A.,1.0,0.315789473684,1.0,0.5,SFLN.MX,MEX
Treasure Island,Treasure Island Royalty Trust,1.0,0.51724137931,1.0,0.5,TISDZ,PNK
ConforMIS,"ConforMIS, Inc.",1.0,0.6,1.0,1.0,CFMS,NMS
Safran,Safran SA,1.0,0.666666666667,1.0,1.0,SAFRF,PNK
Cambridge Technology,Cambridge Technology Enterprises Limited,1.0,0.5,1.0,0.5,CTE.BO,BSE
Initial,Rentokil Initial PLC Registered,1.0,0.225806451613,1.0,0.5,RTO1.SG,STU
Express Group,National Express Group PLC,1.0,0.5,1.0,0.5,3NA.F,FRA
Pinewood,Pinewood Group plc,1.0,0.444444444444,1.0,1.0,PWS.L,LSE
Phenix Systems,Phenix Systems SA,1.0,0.823529411765,1.0,1.0,ALPHX.PA,PAR
Conway,"Home Bancshares, Inc. (Conway, AR)",1.0,0.176470588235,1.0,0.25,HOMB,NMS
AB Universal,FAB Universal Corporation,1.0,0.48,0.5,0.5,FABU,PNK
Wacom,"Wacom Co., Ltd.",1.0,0.333333333333,1.0,1.0,11W.F,FRA
Arkema,Arkema S.A.,1.0,0.545454545455,1.0,1.0,AKE.PA,PAR
Medicrea,Medicrea,1.0,1.0,1.0,1.0,ALMED.PA,PAR
KEYENCE,KEYENCE CORP.,1.0,0.538461538462,1.0,1.0,KEE.MU,MUN
HP Inc.,HP Inc.,1.0,1.0,1.0,1.0,HPQ.BA,BUE
BASF SE,BASF SE NA O.N.,1.0,0.466666666667,1.0,0.5,BAS.MU,MUN
Wake Forest,Wake Forest Bancshares Inc.,1.0,0.407407407407,1.0,0.666666666667,WAKE,PNK
eSun,eSun Holdings Limited,1.0,0.190476190476,1.0,1.0,ESNNF,PNK
