PriceDate,DLPH,AA,SYK,SSYS,CFMS,HPQ,ONVO,MGA,SPR,EIGI,ANSS,XONE,OA,TSLA,HXL,SGYP,CRS,SHLM,AXS,AJRD,ZBH,LMT,ADBE,VGR,AMAT,UTHR,ADSK,DDD
2011-01-03,,16138.7771,21674.8143,704.658,,93618.7875,,12990.0405,2954.2986,,4783.7858,,2469.6171,2482.866,1767.1306,322.6587,1836.6561,,4459.9931,314.47,10853.4472,25162.1704,15917.7457,1307.1219,18667.2536,3663.1845,8929.7976,744.5344
2011-01-04,,16874.2151,21587.4479,694.1222,,95568.2662,,13571.7629,2928.6462,,4762.8561,,2488.9318,2487.5295,1746.707,304.2211,1860.4003,,4442.6871,308.57,10709.3137,25320.6269,16029.6634,1305.6238,18547.762,3715.5482,8760.3884,714.9857
2011-01-05,,16915.0727,21706.5839,704.2448,,96816.8087,,14301.3755,2952.8735,,4841.1148,,2505.9154,2502.4528,1785.6092,304.2211,1867.8753,,4456.2846,312.11,10717.2115,25900.4336,16390.8522,1322.8523,18268.9481,3788.4021,9377.7656,729.4111
2011-01-06,,16710.7844,21698.6415,712.5082,,98306.2981,,14100.1866,3017.0044,,4847.4847,,2570.8527,2600.3871,1807.9779,322.6587,1839.7341,,4401.8945,311.52,10385.5071,26354.1954,16416.2881,1326.5977,18441.5472,3771.327,9382.3135,703.3524
2011-01-07,,16772.0709,21571.5631,729.8613,,98766.2875,,14473.4768,2988.5018,,4772.866,,2590.1674,2633.9645,1847.8526,506.1132,1835.7767,,4370.991,310.34,10383.5326,26516.2532,16299.2832,1318.3579,18534.4851,3813.4456,9268.616,687.9963
2011-01-10,,16843.5718,21722.4687,735.6456,,98262.4896,,14822.5273,2974.2505,,4878.4241,,2569.1876,2653.5514,1851.7428,460.941,1811.1531,,4375.9355,302.08,10464.4843,26501.848,16767.3026,1307.1219,18282.2249,3821.414,9292.4925,705.2137
2011-01-11,,16680.1412,23032.965,749.2802,,99511.0322,,14568.0113,2912.9698,,4911.1835,,2572.5178,2514.578,1836.182,377.9716,1845.0105,,4377.1717,300.9,10837.6518,26523.4557,16777.4769,1296.635,18693.8073,3833.9358,9277.7118,695.209
2011-01-12,,16588.2114,22957.5122,762.7081,,99971.0215,,14517.1081,3195.1459,,4897.5338,,2587.5033,2514.578,1848.8252,414.8469,1845.0105,,4389.5331,307.39,10997.5807,26735.9315,17078.8916,1297.384,18926.1523,3824.8291,9216.3152,689.3923
2011-01-13,,16087.705,22893.973,737.0917,,99992.9258,,14248.0483,3179.4695,,4910.2735,,2582.8411,2445.5577,1853.688,414.8469,1830.0605,,4354.9212,305.03,10946.2455,26591.8801,16980.9636,1294.3878,18906.237,3813.4456,9341.3824,690.7883
2011-01-14,,16312.4222,22961.4834,731.9271,,101307.1811,,14267.44,3320.5575,,5001.2719,,2535.2204,2401.7205,1850.7703,414.8469,1841.0532,,4362.338,305.03,11011.4017,26829.5649,17189.5375,1292.1406,20333.4985,3832.7974,9423.2446,717.0797
2011-01-18,,16619.8761,23187.8419,735.439,,101504.3194,,14289.2557,3406.0655,,5095.0003,,2579.844,2391.4607,1884.8097,414.8469,1976.0432,,4347.5043,303.85,11088.4045,27564.2268,17387.937,1221.7283,20180.8147,3906.2205,9557.4075,721.0351
2011-01-19,,16404.3519,22866.1746,718.4991,,101460.5109,,14250.4723,3407.4906,,4998.542,,2554.2021,2241.2949,1817.7035,,1908.3284,,4278.2805,303.26,11042.9926,27967.5706,17250.5835,1189.5184,20220.6453,3899.3905,9434.6143,714.2877
2011-01-20,,16322.6366,22715.269,698.6671,,102468.1066,,14010.5,3384.6885,,4745.5664,,2557.5322,2109.7832,1799.2249,414.8469,1843.6914,,4346.2682,302.08,11025.2227,28565.3837,17036.9225,1198.5072,19988.3004,3835.6433,9393.6832,676.8283
2011-01-21,,16128.5627,22893.973,686.6852,,103453.7981,,13952.325,3334.8089,,4778.3259,,2494.593,2148.9569,1787.5543,460.941,1852.0459,,4333.9068,300.31,11127.8931,28529.3709,16925.0048,1197.7581,19928.5546,3775.3112,9436.8882,669.6156
2011-01-24,,16782.2853,22874.117,691.8498,,104154.7343,,14136.5461,3376.1377,,4851.1246,,2494.2599,2284.1994,1823.5388,432.3627,1884.1445,,4400.6583,302.67,10944.271,28100.8181,17311.6295,1205.2488,20399.8828,3790.6788,9334.5605,663.799
2011-01-25,,16588.2114,23179.8995,686.8918,,103125.2343,,13819.007,3410.3408,,4715.537,,2522.566,2301.9208,1830.3467,431.4408,1868.315,,4455.0485,312.11,11131.842,28475.3516,17072.5326,1214.2063,20406.5212,3818.5682,9170.8362,678.457
2011-01-26,,16955.9304,22774.837,703.6251,,102687.1492,,14185.0253,3367.5869,,4820.1851,,2502.2522,2308.4498,1863.4135,382.581,1872.7121,,4473.5906,316.24,10914.6546,28230.4643,17052.184,1223.2059,20526.0129,3877.762,9295.9034,691.2537
2011-01-27,,16823.143,23076.6482,694.3288,,102380.4896,,14904.942,3401.7901,,4781.9658,,2531.2243,2324.3058,1877.0293,350.3152,1852.4856,,4502.0218,312.7,11664.9383,28486.1554,17085.0458,1219.4561,21375.7314,3885.1612,9270.89,677.5263
2011-01-28,,16475.8528,22715.269,671.398,,99686.2662,,14010.5,3346.2099,,4718.2669,,2507.5804,2239.4295,1823.5388,419.4563,1793.1251,,4400.6583,299.72,11566.2168,28162.0399,16398.6156,1200.7068,20937.5953,3866.9477,9088.9741,632.3889
2011-01-31,,16925.2871,22858.2322,682.3469,,100080.5428,,14148.6659,3366.1618,,4772.866,,2522.899,2247.8238,1849.7977,417.6126,1809.3943,,4398.1861,302.67,11680.7338,28666.2196,16681.2633,1200.7068,20831.3805,3869.2244,9250.4244,664.0316
2011-02-01,,17691.3683,23247.4099,693.7091,,101898.596,,14311.3117,3461.6456,,4871.1442,,2562.5274,2230.1024,1888.6999,414.8469,1758.3883,,4450.1039,304.44,11888.049,29022.7467,16913.4382,1209.7064,21535.0536,3926.7107,9586.9689,677.5263
2011-02-02,,17579.0098,23112.389,705.6909,,102709.0534,,13522.9768,3421.7419,,4923.9233,,2456.9626,2232.9005,2005.4064,414.8469,1807.6354,,4395.7138,304.44,11949.2564,29195.6084,16873.06,1203.7067,21707.6527,3810.0306,9871.2125,663.3336
2011-02-03,,17579.0098,23195.7843,707.137,,103650.9364,,13894.1006,3440.2686,,4903.9037,,2322.0927,2203.9866,1963.5866,,1815.1105,,4437.7425,303.85,11945.3075,29069.5634,16923.5328,1211.2064,21428.8388,3733.1925,9948.5268,687.0657
2011-02-04,,17507.5088,23235.4963,707.137,,103891.8832,,13743.7106,3434.5681,,4937.5731,,2381.7019,2188.1306,1971.367,413.925,1829.9567,,4474.8267,304.44,11974.924,29065.9622,16837.729,1202.9567,21893.5286,3753.6827,9934.8831,696.3724
2011-02-07,,17691.3683,23620.7028,719.3255,,105447.0854,,13850.439,3487.298,,5008.5518,,2369.7135,2151.755,2009.2966,401.0187,1846.2406,,4519.3278,307.98,11844.6116,29357.6661,16938.6746,1213.4563,21760.7601,3749.6985,9896.2259,722.1984
2011-02-08,,17773.0837,23708.0692,745.7682,,105447.0854,,13908.6545,3569.9556,,4953.0428,,2382.0349,2284.1994,1969.4219,405.6281,1840.9593,,4551.4674,305.892,11838.6883,29314.4507,16943.7219,1211.2064,21455.3925,3806.0464,9762.0629,736.8564
2011-02-09,,17527.9377,23747.7812,848.6471,,107199.4258,,13629.7052,3548.5787,,4882.064,,2390.7303,2164.8129,1955.8061,,1814.553,,4561.3565,304.72,11722.1968,29627.7624,16661.0742,1209.7064,21063.7254,3762.2202,9605.1605,762.9151
2011-02-10,,17487.08,23807.3492,884.3861,,106323.2556,,13806.7774,3544.3033,,4950.3128,,2388.3858,2165.2793,1985.6314,341.0963,1816.7535,,4552.7036,305.306,11856.4582,29490.9136,16943.7219,1207.4565,21402.2851,3833.9358,9721.1319,780.3651
2011-02-11,,17742.4404,23914.5716,915.9934,,106542.2981,,14012.9573,3622.6855,,4947.5829,,2387.0461,2168.5437,2008.0624,304.2211,1810.1519,,4618.219,305.306,11970.9752,29418.888,16994.1947,1242.7052,21256.2397,3828.8132,9707.4882,794.5578
