PriceDate,DLPH,AA,SYK,SSYS,CFMS,HPQ,ONVO,MGA,SPR,EIGI,ANSS,XONE,OA,TSLA,HXL,SGYP,CRS,SHLM,AXS,AJRD,ZBH,LMT,ADBE,VGR,AMAT,UTHR,ADSK,DDD
2011-01-03,,35.385,54.58,34.11,,19.4042,,26.8,20.73,,52.57,,34.5565,26.62,18.17,6.9008,41.77,22.81,36.08,5.33,54.97,69.87,31.29,12.4014285714,14.06,64.36,39.27,10.6667
2011-01-04,,36.9974,54.36,33.6,,19.8083,,27.995,20.55,,52.34,,34.8267,26.67,17.96,6.5065,42.31,22.28,35.94,5.23,54.24,70.31,31.51,12.3871428571,13.97,65.28,38.525,10.2433
2011-01-05,,37.087,54.66,34.09,,20.0671,,29.5,20.72,,53.2,,35.0644,26.83,18.36,6.5065,42.48,21.98,36.05,5.29,54.28,71.92,32.22,12.5506666667,13.76,66.56,41.24,10.45
2011-01-06,,36.6391,54.64,34.49,,20.3758,,29.085,21.17,,53.27,,35.973,27.88,18.59,6.9008,41.84,20.31,35.61,5.28,52.6,73.18,32.27,12.5861904762,13.89,66.26,41.26,10.0767
2011-01-07,,36.7735,54.32,35.33,,20.4711,,29.855,20.97,,52.45,,36.2433,28.24,19.0,10.8244,41.75,20.45,35.36,5.26,52.59,73.63,32.04,12.508,13.96,67.0,40.76,9.8567
2011-01-10,,36.9303,54.7,35.61,,20.3667,,30.575,20.87,,53.61,,35.9497,28.45,19.04,9.8583,41.19,20.45,35.4,5.12,53.0,73.59,32.96,12.4014285714,13.77,67.14,40.865,10.1033
2011-01-11,,36.5719,58.0,36.27,,20.6255,,30.05,20.44,,53.97,,35.9963,26.96,18.88,8.0838,41.96,20.89,35.41,5.1,54.89,73.65,32.98,12.3019047619,14.08,67.36,40.8,9.96
2011-01-12,,36.3704,57.81,36.92,,20.7208,,29.945,22.42,,53.82,,36.206,26.96,19.01,8.8725,41.96,21.28,35.51,5.21,55.7,74.24,33.5725,12.309047619,14.255,67.2,40.53,9.8767
2011-01-13,,35.273,57.65,35.68,,20.7254,,29.39,22.31,,53.96,,36.1408,26.22,19.06,8.8725,41.62,21.17,35.23,5.17,55.44,73.84,33.38,12.2805714286,14.24,67.0,41.08,9.8967
2011-01-14,,35.7657,57.82,35.43,,20.9978,,29.43,23.3,,54.96,,35.4744,25.75,19.03,8.8725,41.87,21.16,35.29,5.17,55.77,74.5,33.79,12.2592380952,15.315,67.34,41.44,10.2733
2011-01-18,,36.4398,58.39,35.6,,21.0386,,29.475,23.9,,55.99,,36.0988,25.64,19.38,8.8725,44.94,21.46,35.17,5.15,56.16,76.54,34.18,11.5912380952,15.2,68.63,42.03,10.33
2011-01-19,,35.9673,57.58,34.78,,21.0296,,29.395,23.91,,54.93,,35.74,24.03,18.69,,43.4,21.05,34.61,5.14,55.93,77.66,33.91,11.2856190476,15.23,68.51,41.49,10.2333
2011-01-20,,35.7881,57.2,33.82,,21.2384,,28.9,23.75,,52.15,,35.7866,22.62,18.5,8.8725,41.93,21.04,35.16,5.12,55.84,79.32,33.49,11.3708571429,15.055,67.39,41.31,9.6967
2011-01-21,,35.3626,57.65,33.24,,21.4427,,28.78,23.4,,52.51,,34.9059,23.04,18.38,9.8583,42.12,21.35,35.06,5.09,56.36,79.22,33.27,11.3638095238,15.01,66.33,41.5,9.5933
2011-01-24,,36.7959,57.6,33.49,,21.588,,29.16,23.69,,53.31,,34.9013,24.49,18.75,9.2471,42.85,21.455,35.6,5.13,55.43,78.03,34.03,11.4348571429,15.365,66.6,41.05,9.51
2011-01-25,,36.3704,58.37,33.25,,21.3746,,28.505,23.93,,51.82,,35.2973,24.68,18.82,9.2274,42.49,21.44,36.04,5.29,56.38,79.07,33.56,11.5059047619,15.37,67.09,40.33,9.72
2011-01-26,,37.1766,57.35,34.06,,21.2838,,29.26,23.63,,52.97,,35.0131,24.75,19.16,8.1824,42.59,21.9425,36.19,5.36,55.28,78.39,33.52,11.5912380952,15.46,68.13,40.88,9.9033
2011-01-27,,36.8855,58.11,33.61,,21.2202,,30.745,23.87,,52.55,,35.4185,24.92,19.3,7.4923,42.13,21.8,36.42,5.3,59.08,79.1,33.85,11.5557142857,16.1,68.26,40.77,9.7067
2011-01-28,,36.124,57.2,32.5,,20.6618,,28.9,23.48,,51.85,,35.0877,24.01,18.75,8.9711,40.78,21.21,35.6,5.08,58.58,78.2,32.49,11.378,15.77,67.94,39.97,9.06
2011-01-31,,37.1094,57.56,33.03,,20.7435,,29.185,23.62,,52.45,,35.302,24.1,19.02,8.9316,41.15,21.35,35.58,5.13,59.16,79.6,33.05,11.378,15.69,67.98,40.68,9.5133
2011-02-01,,38.7891,58.54,33.58,,21.1204,,29.5,24.29,,53.53,,35.8565,23.91,19.42,8.8725,39.99,22.06,36.0,5.16,60.21,80.59,33.51,11.4633333333,16.22,68.99,42.16,9.7067
2011-02-02,,38.5427,58.2,34.16,,21.2883,,27.875,24.01,,54.11,,34.3794,23.94,20.62,8.8725,41.11,22.04,35.56,5.16,60.52,81.07,33.43,11.4064761905,16.35,66.94,43.41,9.5033
2011-02-03,,38.5427,58.41,34.23,,21.4836,,28.64,24.14,,53.89,,32.4922,23.63,20.19,,41.28,21.79,35.9,5.15,60.5,80.72,33.53,11.4775238095,16.14,65.59,43.75,9.8433
2011-02-04,,38.386,58.51,34.23,,21.5335,,28.33,24.1,,54.26,,33.3263,23.46,20.27,8.8528,41.58,21.6,36.2,5.16,60.65,80.71,33.36,11.3993333333,16.49,65.95,43.69,9.9767
2011-02-07,,38.7891,59.48,34.82,,21.8558,,28.55,24.47,,55.04,,33.1585,23.07,20.66,8.5767,41.95,22.31,36.56,5.22,59.99,81.52,33.56,11.4988571429,16.39,65.88,43.52,10.3467
2011-02-08,,38.9683,59.7,36.1,,21.8558,,28.67,25.05,,54.43,,33.3309,24.49,20.25,8.6753,41.83,22.66,36.82,5.22,59.96,81.4,33.57,11.4775238095,16.16,66.87,42.93,10.5567
2011-02-09,,38.4308,59.8,41.08,,22.219,,28.095,24.9,,53.65,,33.2611,23.21,20.11,,41.23,22.82,36.9,5.2,59.37,82.27,33.01,11.4633333333,15.865,66.1,42.24,10.93
2011-02-10,,38.3412,59.95,42.81,,22.0374,,28.46,24.87,,54.4,,33.2284,23.215,20.36,7.2952,41.28,22.9,36.83,5.21,60.05,81.89,33.57,11.442,16.12,67.36,42.75,11.18
2011-02-11,,38.9011,60.22,44.34,,22.0828,,28.885,25.42,,54.37,,33.2098,23.25,20.59,6.5065,41.13,23.09,37.36,5.21,60.63,81.69,33.67,11.776,16.01,67.27,42.69,11.3833
2011-02-14,,39.3938,60.49,45.3,,21.933,,29.165,25.2,,54.24,,32.7392,23.08,20.64,6.2107,43.39,23.19,37.21,5.19,60.78,80.92,33.86,11.712,16.2,67.58,42.34,11.66
2011-02-15,,38.9683,60.26,44.48,,21.7877,,28.98,25.21,,54.12,,33.6897,22.84,20.61,6.0727,43.2,22.62,37.2,5.18,60.67,81.48,33.94,11.7191428571,16.12,67.02,42.71,11.5133
2011-02-16,,39.3938,61.03,45.45,,22.2417,,28.97,25.28,,54.51,,33.6105,24.73,20.54,6.0924,44.09,22.63,37.49,5.2,61.31,81.28,34.69,11.9465714286,16.349,67.37,43.84,11.7167
2011-02-17,,39.237,60.78,47.7,,22.0738,,28.845,25.56,,54.77,,33.9041,23.6,20.57,5.915,44.79,22.55,37.4,5.19,62.25,81.9,34.98,12.0176190476,16.42,67.81,43.66,16.4533
2011-02-18,,38.6995,63.0,46.0,,22.0965,,29.2,25.78,,55.09,,33.8948,23.18,20.69,6.4868,44.21,22.87,37.81,5.2,63.73,81.81,35.39,12.0958095238,16.465,67.42,43.4,16.0467
2011-02-22,,37.0422,61.92,44.51,,21.8967,,28.475,24.85,,54.02,,33.317,21.87,19.21,5.8558,42.12,22.08,36.45,5.18,62.0,80.18,33.74,11.9679047619,15.66,66.5,42.1,16.01
2011-02-23,,36.8183,61.76,43.01,,19.7901,,27.865,24.95,,53.32,,32.8463,21.83,18.76,6.4079,40.31,21.5,36.0,5.12,61.46,80.14,33.38,11.9252380952,15.64,66.8,39.59,15.9467
2011-02-24,,37.0646,61.56,43.75,,19.1454,,25.21,25.3,,54.11,,32.9162,22.53,18.92,5.639,40.77,21.55,35.79,5.09,61.01,80.22,33.45,11.9607619048,15.83,67.13,40.43,15.0833
2011-02-25,,37.3558,63.06,44.73,,19.377,,25.16,26.06,,55.83,,33.6338,23.61,18.5,6.4276,41.52,22.24,36.11,5.24,62.0,80.11,34.63,12.0673333333,16.12,67.99,42.75,15.6967
2011-02-28,,37.7365,63.26,45.38,,19.8083,,24.68,25.99,,56.32,,33.6292,23.89,18.55,,41.58,22.26,36.32,5.19,62.34,79.16,34.5,12.0034285714,16.43,67.43,42.05,16.3167
2011-03-01,,36.348,62.47,44.71,,19.4814,,24.985,25.09,,54.93,,32.6134,23.94,18.16,5.8164,40.61,21.88,36.09,5.14,61.22,79.12,33.97,11.7546666667,16.2,67.01,41.21,16.1533
2011-03-02,,36.236,63.06,44.84,,19.6312,,24.62,25.43,,55.07,,32.6693,24.02,18.33,5.915,41.17,22.14,35.56,5.17,62.21,79.46,34.48,11.7688571429,16.42,68.15,40.35,15.8933
2011-03-03,,37.2438,64.56,49.01,,19.6131,,25.51,26.08,,55.28,,32.9209,24.36,18.83,6.0333,42.29,22.66,36.6,5.17,63.22,80.78,35.05,11.9323809524,16.85,69.13,41.17,17.7633
2011-03-04,,37.1206,63.67,48.11,,19.3452,,25.405,25.97,,55.0,,32.604,24.95,18.31,7.5908999999999995,41.68,22.7,36.27,5.2,62.75,79.85,35.27,11.9039047619,16.73,69.54,40.71,17.0967
2011-03-07,,36.3928,63.31,46.07,,19.0592,,25.0,25.75,,53.93,,31.9563,24.94,17.94,7.6895,40.35,22.18,35.82,5.18,61.87,79.3,34.72,11.9252380952,15.96,68.73,40.11,16.11
2011-03-08,,36.9303,65.07,49.59,,19.2499,,25.255,26.16,,54.73,,32.5714,24.66,18.52,7.8867,40.57,22.69,36.06,5.71,62.78,80.27,35.29,12.2308571429,15.79,68.69,40.68,16.6833
2011-03-09,,36.5047,64.36,46.6,,19.0909,,25.445,26.08,,54.38,,32.427,24.72,18.63,,39.56,22.64,35.63,5.64,63.01,80.48,35.13,12.3445714286,15.3,68.4,40.34,16.07
2011-03-10,,35.385,62.92,45.26,,18.8322,,25.055,25.2,,53.05,,31.8864,24.01,18.0,7.8669,38.78,22.34,34.81,5.38,61.27,79.04,34.86,12.2237142857,14.96,67.01,39.9,15.2333
2011-03-11,,35.9001,63.02,45.5,,18.9457,,24.9,25.33,,53.08,,32.5295,24.07,18.94,7.7881,39.64,22.33,33.82,5.48,61.68,80.47,34.61,12.1953333333,15.0,67.55,40.11,14.8867
2011-03-14,,36.1016,62.34,45.58,,18.8367,,25.27,25.12,,51.9,,31.975,23.25,18.44,,39.8,22.4,33.79,5.41,61.02,80.47,34.08,12.1455238095,14.96,66.46,40.38,14.8667
2011-03-15,,35.9225,61.41,45.87,,18.5825,,24.905,25.01,,51.79,,31.9377,22.95,18.13,7.8867,39.94,22.3,33.07,5.54,60.67,79.68,33.04,12.038952381,14.88,65.8,39.25,14.6567
2011-03-16,,35.0602,60.34,44.9,,18.2238,,24.7,24.4,,51.34,,31.3226,22.82,17.58,,39.62,22.08,32.74,5.35,59.41,78.41,32.09,11.5272380952,14.455,65.34,38.47,14.42
2011-03-17,,35.8553,60.59,46.08,,18.8095,,25.01,24.87,,51.02,,31.975,22.81,17.74,,40.41,22.24,32.22,5.35,59.71,80.41,31.835,11.6338095238,14.83,65.93,38.56,14.35
2011-03-18,,36.0792,61.52,46.1,,18.7595,,24.88,25.06,,51.31,,32.3384,22.96,17.79,7.8867,40.83,22.59,32.6,5.55,60.31,80.53,31.99,11.9394285714,14.84,65.98,39.4,14.5067
2011-03-21,,37.0669,62.03,48.82,,18.9616,,25.075,25.51,,52.74,,32.9535,22.73,18.52,,42.01,22.97,33.34,5.61,61.36,81.23,32.34,12.0247619048,15.21,65.8,40.9725,14.83
2011-03-22,,36.8407,61.74,46.14,,18.9502,,24.76,25.33,,53.55,,32.5248,22.19,18.63,,41.66,23.0,33.21,5.58,60.75,81.3,32.88,12.0247619048,15.11,65.1,41.51,15.0733
2011-03-23,,37.9605,61.35,46.0,,19.1,,24.78,25.15,,53.69,,32.2499,22.21,19.24,,41.94,23.04,33.39,5.56,60.1,81.18,31.68,12.0744761905,15.16,65.15,41.62,14.5667
2011-03-24,,38.3188,61.19,46.47,,19.5677,,25.025,25.6,,54.48,,32.3244,22.33,19.16,,42.34,23.12,33.25,5.63,60.0,80.8,32.59,12.1455238095,15.44,66.05,43.81,14.7033
2011-03-25,,38.274,61.12,46.5,,19.3089,,24.485,25.52,,54.2,,32.5015,22.75,19.12,7.7881,42.38,23.56,33.24,5.68,60.74,80.37,32.64,12.2095238095,15.43,65.81,43.27,14.4167
2011-03-28,,38.6099,60.71,45.35,,19.1318,,24.185,25.65,,53.67,,32.3291,23.25,19.28,,42.3,23.53,33.56,5.78,60.57,80.26,32.43,12.3232380952,15.47,64.28,42.97,14.59
